Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
242,0,4.620811,-0.984402,-0.343689,370.997925,-343.974182,633.671387
243,0,4.633175,-0.897206,-0.47577,397.905884,-341.995483,582.346436
244,0,4.639734,-0.805312,-0.610083,424.681091,-339.99942,530.202332
245,0,4.639456,-0.713949,-0.744223,451.313995,-337.986633,477.217499
246,0,4.633608,-0.622139,-0.879019,477.865265,-335.963684,423.351959
247,0,4.619794,-0.527681,-1.017619,504.365143,-333.922913,368.678925
248,0,4.600782,-0.43654,-1.152005,530.772827,-331.86676,313.218323
249,0,4.564764,-0.344895,-1.308608,557.032532,-329.911377,257.064728
250,0,4.529455,-0.248814,-1.445775,583.257263,-327.847443,200.024551
251,0,4.486186,-0.166061,-1.57646,609.347168,-325.854004,142.054718
252,0,4.453956,0.013259,-1.689808,636.240234,-323.590881,83.124657
253,0,4.364936,0.046254,-1.907662,661.65863,-321.471771,26.52029
254,,,,,,,
255,,,,,,,
256,0,1.197878,-2.458753,-3.356016,713.433105,-326.227112,136.589478
257,,,,,,,
258,,,,,,,
259,0,-0.8765,-2.197597,-2.223287,768.283508,-332.153778,240.988785
260,,,,,,,
261,,,,,,,
262,0,-1.528212,-1.130524,-0.909368,824.060547,-337.505585,333.936859
263,,,,,,,
264,,,,,,,
265,0,-1.444656,0.04842,0.242327,878.69043,-343.052399,415.06189
266,,,,,,,
267,,,,,,,
268,0,-0.848191,1.247259,1.24081,930.827942,-347.996613,489.163757
269,0,-0.556309,1.604878,1.534525,949.196899,-349.771454,512.368164
270,,,,,,,
271,0,0.269224,2.232653,2.0625,985.644897,-353.220032,555.302856
272,,,,,,,
273,,,,,,,
274,0,2.367093,2.533844,2.478898,1040.630127,-358.481323,610.299377
275,,,,,,,
276,,,,,,,
277,0,4.894443,-0.24532,0.806491,1093.845947,-363.159882,655.430359
278,,,,,,,
279,,,,,,,
280,0,2.460322,-3.220506,-1.747553,1146.147339,-367.764526,694.058289
281,,,,,,,
282,,,,,,,
283,0,0.37717,-2.62013,-1.834019,1201.254395,-372.797699,724.381042
284,0,0.156289,-2.370433,-1.761251,1219.198853,-373.995117,731.706665
285,,,,,,,
286,0,-0.538216,-1.332046,-1.283171,1256.627319,-377.469055,742.167175
287,,,,,,,
288,,,,,,,
289,0,-0.927877,0.040898,-0.635951,1307.481812,-381.716827,750.965576
290,0,-0.976376,0.495676,-0.402028,1324.897949,-383.039429,752.870361
291,,,,,,,
292,0,-1.012537,1.43628,0.122488,1358.662354,-385.92749,755.014282
293,0,-1.00527,1.858484,0.413606,1376.293579,-388.114075,754.725525
294,,,,,,,
295,0,-0.858129,2.719552,1.090594,1414.213257,-390.663757,751.176819
296,,,,,,,
297,,,,,,,
298,0,-0.209268,3.487393,2.670138,1470.443237,-395.329315,732.214478
299,,,,,,,
300,,,,,,,
301,0,2.178189,0.241167,4.827374,1519.4021,-399.076721,704.547546
302,,,,,,,
303,,,,,,,
304,0,2.061795,-3.945028,1.25875,1568.785767,-402.739136,674.095032
305,0,1.728295,-3.807711,0.500501,1586.017334,-404.408539,662.636475
306,0,1.536573,-3.606711,0.085177,1605.209106,-406.243896,648.532166
307,0,1.148914,-3.08706,-0.312136,1623.309082,-407.3461,636.270874
308,,,,,,,
309,,,,,,,
310,0,0.575271,-1.66691,-0.793505,1679.334351,-411.897614,583.163025
311,,,,,,,
312,,,,,,,
313,0,0.107503,-0.19361,-0.949329,1727.765991,-414.931763,520.135803
314,,,,,,,
315,,,,,,,
316,0,-0.34131,1.258989,-0.805981,1775.198853,-419.070801,453.529297
317,,,,,,,
318,,,,,,,
319,0,-0.889133,2.643427,-0.408394,1827.719238,-423.48172,382.074829
320,,,,,,,
321,,,,,,,
322,0,-1.671444,3.78528,0.680369,1882.263184,-427.578125,296.401154
323,,,,,,,
324,,,,,,,
325,0,-2.531155,2.50688,3.849657,1932.922241,-432.235352,198.579376
326,,,,,,,
327,,,,,,,
328,0,0.193956,1.085108,-1.03358,1974.14624,-438.144073,95.1586
329,,,,,,,
330,,,,,,,
331,0,-0.869515,1.726152,-1.38543,2018.475098,-420.205688,62.885025
332,0,-1.356433,1.587507,-1.775136,2030.059814,-407.268707,80.745895
333,0,-1.853808,1.273167,-2.058338,2041.881104,-393.21701,97.633148
334,0,-2.333297,0.847267,-2.332316,2055.007813,-379.678253,113.085953
335,0,-2.801662,0.229909,-2.510324,2066.849609,-366.087616,127.813263
336,0,-3.197884,-0.579112,-2.546728,2083.55835,-352.090057,139.725113
337,0,-3.293625,-1.698748,-2.412655,2088.775635,-338.129517,154.884232
338,0,-2.990845,-2.912397,-2.011767,2099.941162,-324.146515,166.405869
339,0,-2.176128,-4.098139,-0.97152,2112.083496,-311.207733,176.509064
340,0,-0.898599,-4.638231,0.271307,2122.996094,-298.187836,186.885605
341,0,0.372298,-4.407143,1.139825,2134.739258,-285.030853,195.560257
342,,,,,,,
343,0,2.091239,-2.899418,1.792845,2159.34668,-260.619568,209.918793
344,,,,,,,
345,,,,,,,
346,0,2.029445,-0.882079,1.666371,2192.97168,-217.074173,225.561829
347,0,1.836626,-0.349783,1.45736,2205.398438,-203.421066,227.860458
348,0,1.59564,0.113367,1.165142,2215.917236,-190.075745,229.350418
349,0,1.283932,0.525182,0.91554,2227.661133,-176.450592,230.050949
350,0,0.934379,0.880915,0.62927,2238.514893,-164.105026,229.40181
351,0,0.56491,1.182249,0.345168,2249.715332,-151.121384,228.192993
352,0,0.163938,1.424396,0.031159,2260.56958,-138.045151,226.453125
353,0,-0.267238,1.611237,-0.275452,2272.181641,-124.823532,223.884506
354,0,-0.722782,1.748565,-0.6077,2283.287354,-111.963539,220.431137
355,0,-1.175407,1.747461,-0.954704,2296.222656,-99.103584,214.756744
356,0,-1.641685,1.790153,-1.319608,2306.972168,-84.858002,210.566971
357,0,-2.124475,1.648509,-1.679132,2318.987061,-70.659203,203.683716
358,0,-2.605964,1.374864,-2.036031,2330.668213,-56.449471,195.386169
